Date,H16
2014-01-01,0.21
2014-01-02,0.2
2014-01-03,0.23
2014-01-04,0.19
2014-01-05,0.32
2014-01-06,0.24
2014-01-07,0.33
2014-01-08,0.45
2014-01-09,0.45
2014-01-10,1.06
2014-01-11,0.21
2014-01-12,0.18
2014-01-13,0.33
2014-01-14,0.36
2014-01-15,0.39
2014-01-16,0.25
2014-01-17,0.27
2014-01-18,0.21
2014-01-19,0.22
2014-01-20,0.21
2014-01-21,0.19
2014-01-22,0.31
2014-01-23,0.26
2014-01-24,0.32
2014-01-25,0.16
2014-01-26,0.21
2014-01-27,0.21
2014-01-28,0.4
2014-01-29,0.45
2014-01-30,0.27
2014-01-31,0.35
2014-02-01,0.49
2014-02-02,0.21
2014-02-03,0.28
2014-02-04,0.41
2014-02-05,0.24
2014-02-06,0.42
2014-02-07,0.38
2014-02-08,0.27
2014-02-09,0.38
2014-02-10,0.29
2014-02-11,0.34
2014-02-12,0.3
2014-02-13,0.37
2014-02-14,0.42
2014-02-15,0.22
2014-02-16,0.2
2014-02-17,0.24
2014-02-18,0.33
2014-02-19,0.32
2014-02-20,0.43
2014-02-21,0.22
2014-02-22,0.19
2014-02-23,0.2
2014-02-24,0.31
2014-02-25,0.25
2014-02-26,0.31
2014-02-27,0.29
2014-02-28,0.32
2014-03-01,0.3
2014-03-02,0.19
2014-03-03,0.29
2014-03-04,0.35
2014-03-05,0.26
2014-03-06,0.52
2014-03-07,0.3
2014-03-08,0.25
2014-03-09,0.21
2014-03-10,0.27
2014-03-11,0.3
2014-03-12,0.2
2014-03-13,0.26
2014-03-14,0.26
2014-03-15,0.18
2014-03-16,0.15
2014-03-17,0.23
2014-03-18,0.26
2014-03-19,0.28
2014-03-20,0.26
2014-03-21,0.23
2014-03-22,0.2
2014-03-23,0.19
2014-03-24,0.32
2014-03-25,0.25
2014-03-26,0.25
2014-03-27,0.29
2014-03-28,0.3
2014-03-29,0.25
2014-03-30,0.21
2014-03-31,0.69
2014-04-01,0.26
2014-04-02,0.29
2014-04-03,0.35
2014-04-04,0.4
2014-04-05,0.27
2014-04-06,0.27
2014-04-07,0.43
2014-04-08,0.34
2014-04-09,0.29
2014-04-10,0.31
2014-04-11,0.36
2014-04-12,0.41
2014-04-13,0.34
2014-04-14,0.22
2014-04-15,0.24
2014-04-16,0.22
2014-04-17,0.28
2014-04-18,0.53
2014-04-19,0.52
2014-04-20,1
2014-04-21,0.25
2014-04-22,0.23
2014-04-23,0.18
2014-04-24,0.24
2014-04-25,0.22
2014-04-26,0.23
2014-04-27,0.21
2014-04-28,0.59
2014-04-29,0.62
2014-04-30,0.3
2014-05-01,0.17
2014-05-02,0.27
2014-05-03,0.2
2014-05-04,0.15
2014-05-05,0.23
2014-05-06,0.42
2014-05-07,0.19
2014-05-08,0.3
2014-05-09,0.23
2014-05-10,0.18
2014-05-11,0.16
2014-05-12,0.54
2014-05-13,0.99
2014-05-14,0.43
2014-05-15,0.22
2014-05-16,0.18
2014-05-17,0.17
2014-05-18,0.18
2014-05-19,0.17
2014-05-20,0.26
2014-05-21,0.42
2014-05-22,0.22
2014-05-23,0.22
2014-05-24,0.2
2014-05-25,0.17
2014-05-26,0.23
2014-05-27,0.26
2014-05-28,0.4
2014-05-29,0.9
2014-05-30,0.25
2014-05-31,0.16
2014-06-01,0.35
2014-06-02,0.19
2014-06-03,0.17
2014-06-04,0.21
2014-06-05,0.39
2014-06-06,0.13
2014-06-07,0.22
2014-06-08,0.27
2014-06-09,0.36
2014-06-10,0.61
2014-06-11,0.38
2014-06-12,0.19
2014-06-13,0.19
2014-06-14,0.14
2014-06-15,0.49
2014-06-16,0.8
2014-06-17,0.21
2014-06-18,0.17
2014-06-19,0.32
2014-06-20,0.33
2014-06-21,0.19
2014-06-22,0.27
2014-06-23,0.53
2014-06-24,0.2
2014-06-25,0.52
2014-06-26,0.43
2014-06-27,0.4
