Date,H16
2014-01-01,13
2014-01-02,12
2014-01-03,14
2014-01-04,9
2014-01-05,19
2014-01-06,10
2014-01-07,10
2014-01-08,15
2014-01-09,15
2014-01-10,54
2014-01-11,10
2014-01-12,8
2014-01-13,12
2014-01-14,12
2014-01-15,11
2014-01-16,11
2014-01-17,12
2014-01-18,11
2014-01-19,9
2014-01-20,10
2014-01-21,9
2014-01-22,13
2014-01-23,14
2014-01-24,9
2014-01-25,5
2014-01-26,9
2014-01-27,7
2014-01-28,10
2014-01-29,12
2014-01-30,14
2014-01-31,16
2014-02-01,29
2014-02-02,7
2014-02-03,11
2014-02-04,17
2014-02-05,9
2014-02-06,11
2014-02-07,9
2014-02-08,13
2014-02-09,19
2014-02-10,9
2014-02-11,8
2014-02-12,11
2014-02-13,18
2014-02-14,17
2014-02-15,8
2014-02-16,8
2014-02-17,11
2014-02-18,11
2014-02-19,15
2014-02-20,30
2014-02-21,7
2014-02-22,7
2014-02-23,6
2014-02-24,9
2014-02-25,8
2014-02-26,8
2014-02-27,8
2014-02-28,8
2014-03-01,18
2014-03-02,4
2014-03-03,7
2014-03-04,13
2014-03-05,11
2014-03-06,13
2014-03-07,11
2014-03-08,8
2014-03-09,6
2014-03-10,8
2014-03-11,14
2014-03-12,5
2014-03-13,6
2014-03-14,8
2014-03-15,4
2014-03-16,3
2014-03-17,7
2014-03-18,9
2014-03-19,12
2014-03-20,6
2014-03-21,5
2014-03-22,5
2014-03-23,3
2014-03-24,6
2014-03-25,7
2014-03-26,5
2014-03-27,10
2014-03-28,7
2014-03-29,18
2014-03-30,3
2014-03-31,20
2014-04-01,9
2014-04-02,5
2014-04-03,16
2014-04-04,12
2014-04-05,3
2014-04-06,3
2014-04-07,16
2014-04-08,5
2014-04-09,3
2014-04-10,4
2014-04-11,11
2014-04-12,14
2014-04-13,3
2014-04-14,4
2014-04-15,5
2014-04-16,3
2014-04-17,8
2014-04-18,17
2014-04-19,14
2014-04-20,22
2014-04-21,4
2014-04-22,5
2014-04-23,2
2014-04-24,5
2014-04-25,11
2014-04-26,4
2014-04-27,4
2014-04-28,12
2014-04-29,20
2014-04-30,17
2014-05-01,5
2014-05-02,8
2014-05-03,6
2014-05-04,2
2014-05-05,7
2014-05-06,23
2014-05-07,16
2014-05-08,18
2014-05-09,7
2014-05-10,3
2014-05-11,3
2014-05-12,40
2014-05-13,24
2014-05-14,23
2014-05-15,8
2014-05-16,6
2014-05-17,4
2014-05-18,4
2014-05-19,3
2014-05-20,8
2014-05-21,35
2014-05-22,7
2014-05-23,6
2014-05-24,3
2014-05-25,3
2014-05-26,7
2014-05-27,8
2014-05-28,11
2014-05-29,15
2014-05-30,12
2014-05-31,7
2014-06-01,23
2014-06-02,4
2014-06-03,5
2014-06-04,6
2014-06-05,12
2014-06-06,3
2014-06-07,22
2014-06-08,13
2014-06-09,15
2014-06-10,23
2014-06-11,22
2014-06-12,5
2014-06-13,10
2014-06-14,3
2014-06-15,17
2014-06-16,28
2014-06-17,4
2014-06-18,6
2014-06-19,18
2014-06-20,18
2014-06-21,9
2014-06-22,11
2014-06-23,26
2014-06-24,5
2014-06-25,22
2014-06-26,24
2014-06-27,13
2014-06-28,12
2014-06-29,2
2014-06-30,3
2014-07-01,3
2014-07-02,7
2014-07-03,7
2014-07-04,8
2014-07-05,3
2014-07-06,3
2014-07-07,4
2014-07-08,6
2014-07-09,5
2014-07-10,18
2014-07-11,19
2014-07-12,2
2014-07-13,2
2014-07-14,19
2014-07-15,5
2014-07-16,6
2014-07-17,5
2014-07-18,14
2014-07-19,24
2014-07-20,9
2014-07-21,4
2014-07-22,4
2014-07-23,3
2014-07-24,5
2014-07-25,5
2014-07-26,5
2014-07-27,3
2014-07-28,3
2014-07-29,5
2014-07-30,6
2014-07-31,5
2014-08-01,4
2014-08-02,17
2014-08-03,9
2014-08-04,16
2014-08-05,26
2014-08-06,5
2014-08-07,4
2014-08-08,13
2014-08-09,8
2014-08-10,19
2014-08-11,6
2014-08-12,6
2014-08-13,5
2014-08-14,6
2014-08-15,4
2014-08-16,3
2014-08-17,10
2014-08-18,16
2014-08-19,16
2014-08-20,4
2014-08-21,5
2014-08-22,17
2014-08-23,8
2014-08-24,14
2014-08-25,3
2014-08-26,4
2014-08-27,5
2014-08-28,3
2014-08-29,16
2014-08-30,3
2014-08-31,2
2014-09-01,2
2014-09-02,10
2014-09-03,5
2014-09-04,5
2014-09-05,4
2014-09-06,3
2014-09-07,19
2014-09-08,9
2014-09-09,14
2014-09-10,7
2014-09-11,5
2014-09-12,10
2014-09-13,3
2014-09-14,6
2014-09-15,12
2014-09-16,7
2014-09-17,7
2014-09-18,12
2014-09-19,9
2014-09-20,3
2014-09-21,3
2014-09-22,5
2014-09-23,6
2014-09-24,18
2014-09-25,17
2014-09-26,23
2014-09-27,24
2014-09-28,25
2014-09-29,27
2014-09-30,22
2014-10-01,14
2014-10-02,13
2014-10-03,6
2014-10-04,3
2014-10-05,4
2014-10-06,8
2014-10-07,9
2014-10-08,7
2014-10-09,7
2014-10-10,7
2014-10-11,3
2014-10-12,9
2014-10-13,19
2014-10-14,10
2014-10-15,25
2014-10-16,9
2014-10-17,8
2014-10-18,3
2014-10-19,3
2014-10-20,9
2014-10-21,10
2014-10-22,22
2014-10-23,6
2014-10-24,10
2014-10-25,6
2014-10-26,4
2014-10-27,22
2014-10-28,6
2014-10-29,10
2014-10-30,10
2014-10-31,15
2014-11-01,3
2014-11-02,5
2014-11-03,9
2014-11-04,8
2014-11-05,12
2014-11-06,24
2014-11-07,7
2014-11-08,9
2014-11-09,6
2014-11-10,14
2014-11-11,10
2014-11-12,10
2014-11-13,11
2014-11-14,18
2014-11-15,9
2014-11-16,15
2014-11-17,15
2014-11-18,10
2014-11-19,14
2014-11-20,11
2014-11-21,9
2014-11-22,16
2014-11-23,10
2014-11-24,5
2014-11-25,9
2014-11-26,16
2014-11-27,14
2014-11-28,12
2014-11-29,11
2014-11-30,5
2014-12-01,8
2014-12-02,18
2014-12-03,12
2014-12-04,11
2014-12-05,27
2014-12-06,7
2014-12-07,8
2014-12-08,26
2014-12-09,25
2014-12-10,8
2014-12-11,12
2014-12-12,15
2014-12-13,12
2014-12-14,8
2014-12-15,11
2014-12-16,21
2014-12-17,8
2014-12-18,10
2014-12-19,14
2014-12-20,25
2014-12-21,9
2014-12-22,11
2014-12-23,19
2014-12-24,19
2014-12-25,5
2014-12-26,7
2014-12-27,7
2014-12-28,5
2014-12-29,9
2014-12-30,8
2014-12-31,9
