Hamilton Downtown (29000) ,,,,,,,,,,,,,,,,,,,,,,,,,,
Hourly Nitrogen Dioxide [NO2] Concentrations ,,,,,,,,,,,,,,,,,,,,,,,,,,
From,January 1 2014 ,,,,,,,,,,,,,,,,,,,,,,,,,
To,December 31 2014 ,,,,,,,,,,,,,,,,,,,,,,,,,
Station,Hamilton Downtown (29000),,,,,,,,,,,,,,,,,,,,,,,,,
Address,Elgin St./kelly St.,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.257778,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.861667,,,,,,,,,,,,,,,,,,,,,,,,,
Air Intake Height,4 metres ,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,90 metres ,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Nitrogen Dioxide [NO2],,,,,,,,,,,,,,,,,,,,,,,,,
Unit, parts per billion (ppb),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, -999 for missing data. 9999 for invalid data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
29000,Nitrogen Dioxide,2014-01-01,10,6,7,8,12,13,14,14,15,13,6,5,4,9,11,13,14,14,14,14,13,13,13,11
29000,Nitrogen Dioxide,2014-01-02,10,10,9,9,11,14,18,22,24,24,23,21,20,17,15,12,11,11,12,11,10,9,12,11
29000,Nitrogen Dioxide,2014-01-03,9,10,9,11,13,11,14,17,25,19,11,8,9,10,10,14,17,22,22,17,16,21,17,17
29000,Nitrogen Dioxide,2014-01-04,11,10,9,10,9,10,10,11,10,8,7,7,8,9,9,9,11,12,12,12,14,13,15,16
29000,Nitrogen Dioxide,2014-01-05,15,14,12,13,16,16,23,29,22,26,28,23,20,20,21,19,28,24,32,25,27,24,20,21
29000,Nitrogen Dioxide,2014-01-06,27,25,25,27,11,7,8,9,10,10,8,9,12,10,12,10,12,13,12,12,12,13,13,13
