Date,H16
2014-01-01,6
2014-01-02,7
2014-01-03,2
2014-01-04,6
2014-01-05,11
2014-01-06,4
2014-01-07,6
2014-01-08,12
2014-01-09,12
2014-01-10,78
2014-01-11,1
2014-01-12,10
2014-01-13,4
2014-01-14,9
2014-01-15,8
2014-01-16,6
2014-01-17,4
2014-01-18,12
2014-01-19,12
2014-01-20,3
2014-01-21,5
2014-01-22,4
2014-01-23,5
2014-01-24,10
2014-01-25,3
2014-01-26,4
2014-01-27,3
2014-01-28,7
2014-01-29,10
2014-01-30,11
2014-01-31,20
2014-02-01,31
2014-02-02,4
2014-02-03,6
2014-02-04,15
2014-02-05,6
2014-02-06,6
2014-02-07,8
2014-02-08,17
2014-02-09,18
2014-02-10,7
2014-02-11,5
2014-02-12,13
2014-02-13,13
2014-02-14,28
2014-02-15,8
2014-02-16,7
2014-02-17,13
2014-02-18,9
2014-02-19,23
2014-02-20,33
2014-02-21,3
2014-02-22,4
2014-02-23,7
2014-02-24,7
2014-02-25,5
2014-02-26,6
2014-02-27,7
2014-02-28,6
2014-03-01,25
2014-03-02,4
2014-03-03,5
2014-03-04,7
2014-03-05,10
2014-03-06,9
2014-03-07,20
2014-03-08,14
2014-03-09,15
2014-03-10,26
2014-03-11,17
2014-03-12,3
2014-03-13,4
2014-03-14,14
2014-03-15,3
2014-03-16,2
2014-03-17,5
2014-03-18,12
2014-03-19,11
2014-03-20,8
2014-03-21,9
2014-03-22,3
2014-03-23,4
2014-03-24,7
2014-03-25,14
2014-03-26,6
2014-03-27,11
2014-03-28,3
2014-03-29,19
2014-03-30,3
2014-03-31,22
2014-04-01,10
2014-04-02,6
2014-04-03,7
2014-04-04,6
2014-04-05,3
2014-04-06,6
2014-04-07,18
2014-04-08,8
2014-04-09,5
2014-04-10,5
2014-04-11,6
2014-04-12,9
2014-04-13,8
2014-04-14,0
2014-04-15,2
2014-04-16,5
2014-04-17,10
2014-04-18,18
2014-04-19,22
2014-04-20,29
2014-04-21,9
2014-04-22,4
2014-04-23,2
2014-04-24,7
2014-04-25,12
2014-04-26,6
2014-04-27,5
2014-04-28,13
2014-04-29,41
2014-04-30,5
2014-05-01,2
2014-05-02,12
2014-05-03,5
2014-05-04,2
2014-05-05,4
2014-05-06,14
2014-05-07,9
2014-05-08,32
2014-05-09,7
2014-05-10,3
2014-05-11,3
2014-05-12,40
2014-05-13,14
2014-05-14,17
2014-05-15,2
2014-05-16,5
2014-05-17,5
2014-05-18,8
2014-05-19,10
2014-05-20,11
2014-05-21,27
2014-05-22,3
2014-05-23,5
2014-05-24,5
2014-05-25,4
2014-05-26,10
2014-05-27,12
2014-05-28,20
2014-05-29,35
2014-05-30,11
2014-05-31,8
2014-06-01,19
2014-06-02,12
2014-06-03,8
2014-06-04,6
2014-06-05,20
2014-06-06,3
2014-06-07,11
2014-06-08,9
2014-06-09,23
2014-06-10,21
2014-06-11,22
2014-06-12,6
2014-06-13,6
2014-06-14,1
2014-06-15,19
2014-06-16,39
2014-06-17,21
2014-06-18,6
2014-06-19,16
2014-06-20,14
2014-06-21,8
2014-06-22,9
2014-06-23,20
2014-06-24,13
2014-06-25,15
2014-06-26,21
2014-06-27,20
2014-06-28,21
2014-06-29,9
2014-06-30,10
2014-07-01,5
2014-07-02,12
2014-07-03,9
2014-07-04,5
2014-07-05,6
2014-07-06,13
2014-07-07,13
2014-07-08,2
2014-07-09,6
2014-07-10,12
2014-07-11,19
2014-07-12,7
2014-07-13,8
2014-07-14,16
2014-07-15,10
2014-07-16,1
2014-07-17,6
2014-07-18,15
2014-07-19,40
2014-07-20,13
2014-07-21,10
2014-07-22,7
2014-07-23,1
2014-07-24,4
2014-07-25,5
2014-07-26,8
2014-07-27,15
2014-07-28,6
2014-07-29,6
2014-07-30,10
2014-07-31,10
2014-08-01,16
2014-08-02,28
2014-08-03,16
2014-08-04,19
2014-08-05,15
2014-08-06,16
2014-08-07,23
2014-08-08,11
2014-08-09,10
2014-08-10,15
2014-08-11,24
2014-08-12,11
2014-08-13,3
2014-08-14,5
2014-08-15,4
2014-08-16,4
2014-08-17,14
2014-08-18,22
2014-08-19,11
2014-08-20,6
2014-08-21,3
2014-08-22,12
2014-08-23,9
2014-08-24,9
2014-08-25,5
2014-08-26,17
2014-08-27,2
2014-08-28,3
2014-08-29,18
2014-08-30,18
2014-08-31,4
2014-09-01,7
2014-09-02,5
2014-09-03,5
2014-09-04,8
2014-09-05,16
2014-09-06,3
2014-09-07,11
2014-09-08,7
2014-09-09,10
2014-09-10,10
2014-09-11,2
2014-09-12,6
2014-09-13,3
2014-09-14,7
2014-09-15,4
2014-09-16,3
2014-09-17,5
2014-09-18,10
2014-09-19,12
2014-09-20,16
2014-09-21,9
2014-09-22,3
2014-09-23,4
2014-09-24,18
2014-09-25,14
2014-09-26,18
2014-09-27,21
2014-09-28,22
2014-09-29,29
2014-09-30,17
2014-10-01,8
2014-10-02,25
2014-10-03,7
2014-10-04,3
2014-10-05,2
2014-10-06,9
2014-10-07,6
2014-10-08,4
2014-10-09,2
2014-10-10,4
2014-10-11,2
2014-10-12,6
2014-10-13,17
2014-10-14,3
2014-10-15,14
2014-10-16,6
2014-10-17,8
2014-10-18,1
2014-10-19,3
2014-10-20,10
2014-10-21,3
2014-10-22,13
2014-10-23,3
2014-10-24,13
2014-10-25,11
2014-10-26,4
2014-10-27,22
2014-10-28,8
2014-10-29,5
2014-10-30,4
2014-10-31,6
2014-11-01,2
2014-11-02,4
2014-11-03,4
2014-11-04,10
2014-11-05,12
2014-11-06,10
2014-11-07,1
2014-11-08,4
2014-11-09,7
2014-11-10,16
2014-11-11,9
2014-11-12,4
2014-11-13,5
2014-11-14,3
2014-11-15,12
2014-11-16,26
2014-11-17,13
2014-11-18,6
2014-11-19,8
2014-11-20,5
2014-11-21,4
2014-11-22,20
2014-11-23,9
2014-11-24,2
2014-11-25,16
2014-11-26,3
2014-11-27,11
2014-11-28,4
2014-11-29,10
2014-11-30,8
2014-12-01,6
2014-12-02,10
2014-12-03,16
2014-12-04,5
2014-12-05,17
2014-12-06,6
2014-12-07,4
2014-12-08,13
2014-12-09,11
2014-12-10,4
2014-12-11,5
2014-12-12,11
2014-12-13,20
2014-12-14,3
2014-12-15,9
2014-12-16,13
2014-12-17,2
2014-12-18,4
2014-12-19,7
2014-12-20,13
2014-12-21,12
2014-12-22,12
2014-12-23,11
2014-12-24,15
2014-12-25,1
2014-12-26,6
2014-12-27,4
2014-12-28,2
2014-12-29,3
2014-12-30,5
2014-12-31,5
